time,type,distance,person_x,person_y,forklift_x,forklift_y
2025-07-10 17:28:22,predict,1508.74,355.53,263.21,622.49,262.00
2025-07-10 17:28:24,predict,1508.72,373.45,263.86,622.49,262.00
2025-07-10 17:28:27,predict,1508.19,355.45,262.82,618.59,258.82
2025-07-10 17:28:28,predict,1508.18,373.88,263.32,618.59,258.82
2025-07-10 17:28:29,predict,1508.33,133.70,315.88,618.59,258.82
2025-07-10 17:28:30,predict,1508.53,355.49,262.73,617.55,258.58
2025-07-10 17:28:31,predict,1508.52,373.85,263.27,617.55,258.58
2025-07-10 17:28:32,predict,1508.67,131.98,315.49,617.55,258.58
2025-07-10 17:28:33,predict,1508.57,355.52,262.74,616.80,258.41
2025-07-10 17:28:34,predict,1508.55,373.91,263.32,616.80,258.41
2025-07-10 17:28:34,predict,1508.70,132.54,315.73,616.80,258.41
2025-07-10 17:28:36,predict,1508.59,355.64,262.54,616.02,258.19
2025-07-10 17:28:36,predict,1508.57,373.98,263.34,616.02,258.19
2025-07-10 17:28:37,predict,1508.73,131.46,314.11,616.02,258.19
2025-07-10 17:28:38,predict,1508.25,355.79,262.34,614.96,258.13
2025-07-10 17:28:39,predict,1508.23,374.32,263.31,614.96,258.13
2025-07-10 17:28:40,predict,1508.39,129.98,312.11,614.96,258.13
2025-07-10 17:28:40,predict,1508.40,128.96,302.31,614.96,258.13
2025-07-10 17:28:42,predict,1507.82,355.82,262.61,613.83,257.91
2025-07-10 17:28:42,predict,1507.81,374.41,263.37,613.83,257.91
2025-07-10 17:28:43,predict,1507.97,128.57,311.26,613.83,257.91
2025-07-10 17:28:44,predict,1507.97,128.07,305.98,613.83,257.91
2025-07-10 17:28:45,predict,1507.81,355.98,262.50,609.83,286.44
2025-07-10 17:28:46,predict,1507.80,374.54,263.38,609.83,286.44
2025-07-10 17:28:47,predict,1507.96,126.50,310.11,609.83,286.44
2025-07-10 17:28:48,predict,1507.96,356.12,262.57,609.56,287.95
2025-07-10 17:28:49,predict,1507.94,374.69,263.48,609.56,287.95
