time,type,x,y
2025-07-08 16:40:03, predict,355.53,263.21
2025-07-08 16:40:04, predict,373.45,263.86
2025-07-08 16:40:07, predict,355.45,262.82
2025-07-08 16:40:08, predict,373.88,263.32
2025-07-08 16:40:08, predict,133.70,315.88
2025-07-08 16:40:09, predict,355.49,262.73
2025-07-08 16:40:10, predict,373.85,263.27
2025-07-08 16:40:11, predict,131.98,315.49
2025-07-08 16:40:12, predict,355.52,262.74
2025-07-08 16:40:12, predict,373.91,263.32
2025-07-08 16:40:13, predict,132.54,315.73
2025-07-08 16:40:14, predict,355.64,262.54
2025-07-08 16:40:15, predict,373.98,263.34
2025-07-08 16:40:15, predict,131.46,314.11
2025-07-08 16:40:16, predict,355.79,262.34
2025-07-08 16:40:17, predict,374.32,263.31
2025-07-08 16:40:18, predict,129.98,312.11
2025-07-08 16:40:18, predict,128.96,302.31
2025-07-08 16:40:19, predict,355.82,262.61
2025-07-08 16:40:20, predict,374.41,263.37
2025-07-08 16:40:20, predict,128.57,311.26
2025-07-08 16:40:21, predict,128.07,305.98
2025-07-08 16:40:22, predict,355.98,262.50
2025-07-08 16:40:23, predict,374.54,263.38
2025-07-08 16:40:24, predict,126.50,310.11
2025-07-08 16:40:25, predict,356.12,262.57
2025-07-08 16:40:26, predict,374.69,263.48
2025-07-08 16:40:27, predict,123.70,309.47
2025-07-08 16:40:27, predict,126.45,310.23
2025-07-08 16:40:29, predict,356.08,262.99
2025-07-08 16:40:29, predict,374.86,263.57
2025-07-08 16:40:30, predict,123.59,309.44
2025-07-08 16:40:31, predict,356.19,262.85
2025-07-08 16:40:32, predict,375.03,263.48
2025-07-08 16:40:33, predict,121.53,308.83
2025-07-08 16:40:34, predict,356.04,263.12
2025-07-08 16:40:35, predict,375.26,263.68
2025-07-08 16:40:36, predict,120.96,307.96
2025-07-08 16:40:36, realtime,375.52,263.78
2025-07-08 16:40:37, predict,356.15,263.33
2025-07-08 16:40:38, predict,120.82,308.42
2025-07-08 16:40:39, predict,375.52,263.78
2025-07-08 16:40:39, realtime,375.88,263.75
2025-07-08 16:40:40, predict,356.37,263.37
2025-07-08 16:40:41, predict,375.88,263.75
2025-07-08 16:40:42, realtime,376.28,263.70
2025-07-08 16:40:46, predict,376.46,263.69
2025-07-08 16:40:46, predict,357.18,263.65
2025-07-08 16:40:47, predict,113.22,305.41
2025-07-08 16:40:51, predict,377.11,263.53
2025-07-08 16:40:52, predict,357.88,263.39
2025-07-08 16:40:54, predict,377.49,263.27
2025-07-08 16:40:55, predict,358.37,262.79
2025-07-08 16:40:55, predict,110.25,303.62
2025-07-08 16:40:57, predict,377.57,263.41
2025-07-08 16:40:57, predict,358.53,262.98
