time,type,distance,person_x,person_y,forklift_x,forklift_y
2025-07-04 15:24:07,realtime,385.06,731.84,357.92,347.10,373.62
2025-07-04 15:24:09,realtime,368.54,731.50,357.95,398.14,515.07
2025-07-04 15:24:09,realtime,374.59,731.50,357.95,357.46,378.22
2025-07-04 15:24:10,realtime,343.69,731.11,358.00,426.65,517.45
2025-07-04 15:24:10,realtime,364.13,731.11,358.00,367.83,382.81
2025-07-04 15:24:11,realtime,328.83,730.81,358.08,454.77,536.78
2025-07-04 15:24:11,realtime,353.82,730.81,358.08,378.20,387.41
2025-07-04 15:24:13,realtime,305.16,730.90,357.99,487.95,542.64
2025-07-04 15:24:13,realtime,344.02,730.90,357.99,388.57,392.01
2025-07-04 15:24:14,realtime,367.47,822.29,357.75,505.88,544.63
2025-07-04 15:24:14,realtime,292.21,730.69,357.95,505.88,544.63
2025-07-04 15:24:14,realtime,334.00,730.69,357.95,398.94,396.61
2025-07-04 15:24:16,realtime,349.48,822.31,356.31,528.93,546.22
2025-07-04 15:24:16,realtime,275.83,730.55,357.99,528.93,546.22
2025-07-04 15:24:16,realtime,324.14,730.55,357.99,409.30,401.21
2025-07-04 15:24:17,realtime,332.55,822.51,356.29,554.28,552.86
2025-07-04 15:24:17,realtime,262.37,729.95,357.97,554.28,552.86
2025-07-04 15:24:17,realtime,313.94,729.95,357.97,419.67,405.80
2025-07-04 15:24:18,realtime,314.74,822.77,357.17,582.26,560.19
2025-07-04 15:24:18,realtime,250.31,729.50,357.77,582.26,560.19
2025-07-04 15:24:18,realtime,304.05,729.50,357.77,430.04,410.40
2025-07-04 15:24:20,realtime,298.86,823.00,358.08,607.74,565.39
2025-07-04 15:24:20,realtime,240.66,729.03,357.54,607.74,565.39
2025-07-04 15:24:20,realtime,294.29,729.03,357.54,440.41,415.00
2025-07-04 15:24:21,realtime,287.85,823.12,357.90,627.73,569.29
2025-07-04 15:24:21,realtime,234.78,728.85,357.39,627.73,569.29
2025-07-04 15:24:21,realtime,280.30,823.26,358.12,640.61,570.73
2025-07-04 15:24:21,realtime,231.12,728.45,356.96,640.61,570.73
2025-07-04 15:24:22,realtime,274.90,823.29,358.56,657.80,578.07
2025-07-04 15:24:22,realtime,232.05,728.32,356.99,657.80,578.07
2025-07-04 15:24:23,realtime,267.32,823.15,359.37,673.49,580.86
2025-07-04 15:24:23,realtime,230.40,728.33,357.09,673.49,580.86
2025-07-04 15:24:23,realtime,262.49,823.28,360.04,684.74,582.99
2025-07-04 15:24:23,realtime,230.03,728.19,357.11,684.74,582.99
2025-07-04 15:24:24,realtime,253.19,823.32,360.33,705.30,584.33
2025-07-04 15:24:24,realtime,228.50,727.98,356.96,705.30,584.33
2025-07-04 15:24:24,realtime,251.05,823.31,360.00,719.29,588.48
2025-07-04 15:24:24,realtime,231.68,727.76,356.96,719.29,588.48
2025-07-04 15:24:25,realtime,249.15,823.35,360.06,731.66,591.73
2025-07-04 15:24:25,realtime,234.68,727.53,357.09,731.66,591.73
2025-07-04 15:24:26,realtime,248.11,823.22,360.30,742.37,594.87
2025-07-04 15:24:26,realtime,238.36,727.51,356.98,742.37,594.87
2025-07-04 15:24:26,realtime,242.80,823.14,361.07,756.89,594.65
2025-07-04 15:24:26,realtime,239.58,727.38,356.89,756.89,594.65
2025-07-04 15:24:27,realtime,239.41,822.96,360.93,768.93,594.16
2025-07-04 15:24:27,realtime,240.89,727.42,356.88,768.93,594.16
2025-07-04 15:24:28,realtime,233.76,822.68,360.78,770.80,588.71
2025-07-04 15:24:28,realtime,235.87,727.40,356.86,770.80,588.71
2025-07-04 15:24:28,realtime,205.16,664.04,413.52,770.80,588.71
2025-07-04 15:24:28,realtime,232.81,822.36,359.46,784.02,589.09
2025-07-04 15:24:28,realtime,238.51,726.28,357.68,784.02,589.09
2025-07-04 15:24:29,realtime,232.64,822.26,359.01,793.62,589.88
2025-07-04 15:24:29,realtime,242.33,726.63,357.00,793.62,589.88
2025-07-04 15:24:30,realtime,231.66,822.24,358.75,805.92,589.83
2025-07-04 15:24:30,realtime,246.08,726.63,356.88,805.92,589.83
2025-07-04 15:24:30,realtime,219.49,676.00,412.92,805.92,589.83
2025-07-04 15:24:31,realtime,228.87,822.13,358.91,812.60,587.58
2025-07-04 15:24:31,realtime,246.22,726.94,356.74,812.60,587.58
2025-07-04 15:24:31,realtime,227.07,822.31,358.73,820.81,585.79
2025-07-04 15:24:31,realtime,247.52,726.46,356.96,820.81,585.79
2025-07-04 15:24:32,realtime,225.38,822.41,359.26,827.89,584.57
2025-07-04 15:24:32,realtime,249.38,726.12,356.90,827.89,584.57
2025-07-04 15:24:32,realtime,226.11,822.84,359.29,837.60,584.92
2025-07-04 15:24:32,realtime,253.78,726.17,356.92,837.60,584.92
2025-07-04 15:24:33,realtime,228.43,823.11,359.27,849.95,586.12
2025-07-04 15:24:33,realtime,260.65,726.03,356.81,849.95,586.12
2025-07-04 15:24:34,realtime,230.44,823.30,359.78,859.33,587.38
2025-07-04 15:24:34,realtime,233.56,823.51,359.76,865.20,589.56
2025-07-04 15:24:35,realtime,235.13,823.96,360.01,873.87,589.78
2025-07-04 15:24:36,realtime,238.61,823.86,360.38,882.51,591.68
2025-07-04 15:24:36,realtime,241.35,824.20,360.14,889.45,592.51
2025-07-04 15:24:37,realtime,243.28,825.29,360.04,895.12,593.08
2025-07-04 15:24:38,realtime,245.24,826.02,360.36,902.29,593.44
2025-07-04 15:24:38,realtime,247.60,825.90,359.75,906.76,593.78
2025-07-04 15:24:39,realtime,247.97,826.48,359.18,911.00,592.31
2025-07-04 15:24:40,realtime,252.49,827.55,358.91,920.04,593.86
2025-07-04 15:24:40,realtime,255.02,827.97,358.63,926.95,593.66
